qid,qlabel,base_gdp4,sim_gdp4,base_pcxfe4,sim_pcxfe4,base_lur,sim_lur,base_rff,sim_rff,base_hggdp,sim_hggdp,base_picxfe,sim_picxfe,base_xgdp,sim_xgdp,base_pcxfe,sim_pcxfe
8159,2039Q3,1.80887738104805,1.80887738104805,2.00000041333384,2.00000041333384,4.0978727074241,4.0978727074241,2.5001365861274,2.5001365861274,1.7921736331047,1.7921736331047,1.980263042002,1.980263042002,29870.071557524,29870.071557524,165.13368357323,165.13368357323
8160,2039Q4,1.80877263502306,1.80877263502306,2.00000035133217,2.00000035133217,4.0992734381315,4.0992734381315,2.5001160982084,2.5001160982084,1.7915379998505,1.7915379998505,1.9802629951444,1.9802629951444,30004.155023545,30004.155023545,165.9532308554,165.9532308554
8161,2040Q1,1.80805885802788,1.8082891619893,2.00000029863228,1.99982607092011,4.100891937153,4.10080368967907,2.5000986834772,3.50008810317372,1.7909980111213,1.79190286562288,1.9802629553155,1.97957970880399,30138.79968894,30138.8678670886,166.77684547859,166.776560604589
8162,2040Q2,1.80745246491829,1.72944599592404,2.00000025384155,1.99953131094484,4.1023960203393,4.15573031149512,2.5000838809559,3.33855458441268,1.7905393052729,1.4830306913406,1.980262921461,1.97910717199781,30274.01385966,30250.8174347785,167.60454763108,167.60377707263
8163,2040Q3,1.80693733133708,1.68307121360467,2.00000021576785,1.99917832342893,4.1035994267314,4.18954683773871,2.5000712988126,3.19465124330056,1.7901496756373,1.60978649682228,1.9802628926846,1.97887876846927,30409.805031394,30372.8061333918,168.436357601,168.435000379906
8164,2040Q4,1.80649975267979,1.63786057900801,2.0000001834023,1.99882152183468,4.1044479485178,4.20845179532463,2.5000606039908,3.06604090849634,1.7898187472731,1.61364924065905,1.9802628682245,1.97886375949081,30546.180009839,30495.5812507401,169.27229577687,169.270339749918
8165,2041Q1,1.80612808099241,1.62757622107479,2.00000015588988,1.99867854847799,4.1049763125977,4.2124528099658,2.5000515133923,2.95916198021816,1.7895377021411,1.75142630216001,1.9802628474337,1.97901902211277,30683.145013396,30629.4009137944,170.11238264815,170.109887945282
8166,2041Q2,1.80581241638218,1.70312641662895,2.00000013250736,1.99872592814743,4.1052618891952,4.21306364622591,2.5000437863835,2.87106985964043,1.78929904556,1.78028122184107,1.9802628297613,1.97929297698342,30820.705760875,30766.0270977564,170.95663880579,170.953717221535
8167,2041Q3,1.80554434473081,1.75487212437166,2.00000011263006,1.99891598673732,4.1053889795072,4.20964641235971,2.5000372184262,2.79953711227129,1.7890964076599,1.81325142512551,1.9802628147398,1.97962410489356,30958.867546382,30905.8100416161,171.80508494273,171.801874529761
8168,2041Q4,1.80531671474919,1.80960690463634,2.00000009573487,1.99919573032239,4.1054278166251,4.20396175462901,2.5000316356623,2.74212553897279,1.7889243746296,1.82875467298795,1.9802628019716,1.97996080331529,31097.635303274,31047.4313946625,172.65774185446,172.6543851549
