qid,qlabel,base_gdp4,sim_gdp4,base_pcxfe4,sim_pcxfe4,base_lur,sim_lur,base_rff,sim_rff,base_hggdp,sim_hggdp,base_picxfe,sim_picxfe,base_xgdp,sim_xgdp,base_pcxfe,sim_pcxfe
8085,2021Q1,1.57260732388822,1.57260732388822,1.90772173081519,1.90772173081519,6.22483657080638,6.22483657080638,0.076393442622951,0.076393442622951,5.10931293251389,5.10931293251389,3.50598352157334,3.50598352157334,20990.541,20990.541,106.57,106.57
8086,2021Q2,11.9502722115196,11.9502722115196,3.60523491990494,3.60523491990494,5.92078618759997,5.92078618759997,0.06875,0.06875,6.03325591939949,6.03325591939949,5.84615616247319,5.84615616247319,21309.544,21309.544,108.139,108.139
8087,2021Q3,4.73531679471093,5.6089458321062,4.03316282872845,3.77170456318858,5.13130708684538,5.29926540192225,0.0903125,0.099962158203125,3.24429629134784,6.56697902087624,4.71050079865272,3.70394726874472,21483.083,21662.2799098481,109.42,109.14500342547
8088,2021Q4,5.42109178248658,5.86202225691796,4.89776599772813,3.8905932826915,4.21310648339388,4.89649808662145,0.07952380952381,0.0999200148809524,6.73015161184836,5.07700548132447,5.06377259445969,2.21118175098918,21847.602,21938.9809959122,110.814,109.750022743835
8089,2022Q1,3.56508200527084,5.66818203174166,5.49873322698697,3.5297988598199,3.8346708936973,4.59636945441194,0.124354838709677,0.10009513608871,-1.99568752529231,4.37621562346032,5.79107425593577,2.1144336049118,21738.871,22180.3230733274,112.43,110.33170664491
8090,2022Q2,1.87059845109778,4.95597288909393,5.17389655905824,2.56724922887266,3.65424802086263,4.3966077679181,0.758571428571428,0.102593894839493,-0.565488677280257,3.32810804154466,4.61263313411173,2.10983237342548,21708.16,22365.6392234295,113.734,110.915197643611
8091,2022Q3,1.71321313612203,3.93662551058289,5.21476878084446,2.18499940478127,3.56428950738703,4.19726452368818,2.2009375,0.108241108849901,2.62583711189919,2.66313378219866,4.86591686057558,2.21043392967204,21851.134,22515.042746953,115.126,111.529821100666
